,Mouse FACS astrocytes,Mouse FACS astrocytes,Mouse Hepacam immunopanned astrocytes,Mouse Hepacam immunopanned astrocytes,Mouse Hepacam immunopanned astrocytes,Mouse Hepacam immunopanned astrocytes,Mouse neurons,Mouse neurons,Mouse oligodendrocytes,Mouse oligodendrocytes,Mouse oligodendrocytes,Mouse oligodendrocytes,Mouse oligodendrocytes,Mouse oligodendrocytes,Mouse microglia,Mouse microglia,Mouse endothelial,Mouse endothelial,Mouse whole brain,Mouse whole brain,Mouse whole brain
Scn4a,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1
Scn4b,0.1,0.1,0.1,0.2,0.1,0.1,0.6,0.9,0.1,0.6,0.1,0.3,0.1,0.3,0.2,0.2,0.1,0.1,0.7,0.5,0.7
Scn5a,0.0,0.0,0.1,0.1,0.1,0.1,0.5,0.3,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.2,0.4
Scn7a,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2
Scn8a,1.7,1.7,0.8,0.7,0.5,0.3,4.7,7.7,6.7,3.2,6.4,3.3,0.5,1.3,0.5,0.7,0.2,0.2,10.1,9.8,10.1
Scn9a,0.0,0.0,0.1,0.1,0.1,0.1,1.4,1.9,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.0,0.7,1.0
Scnm1,8.9,8.5,12.6,10.5,16.1,8.5,6.6,6.7,6.1,10.1,6.6,5.9,7.9,5.7,5.6,5.2,10.1,12.8,5.3,5.3,6.7
Scnn1a,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.6,0.7,0.7
Scnn1b,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Scnn1g,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Sco1,0.5,0.4,0.7,0.5,0.6,0.6,2.1,1.7,1.7,2.0,1.6,1.4,0.8,0.7,1.6,1.0,2.1,2.3,1.9,1.9,2.0
Scoc,5.1,8.2,18.7,18.8,16.2,17.5,19.3,20.0,10.0,5.3,9.6,4.9,5.3,5.2,11.2,7.4,16.1,17.0,12.7,13.7,13.6
Scp2,7.7,6.9,28.5,17.9,19.3,21.7,12.9,17.7,38.0,27.0,41.4,26.9,22.2,22.5,11.6,9.8,19.6,20.7,21.9,22.3,21.6
Scpep1,5.6,5.7,6.5,4.6,9.5,5.4,8.0,7.6,13.4,14.9,3.7,4.6,1.9,3.0,75.1,56.0,10.3,11.1,9.7,7.8,8.6
Scrg1,38.9,41.1,126.0,115.9,101.7,120.0,3.7,9.4,201.0,249.0,174.7,220.7,90.5,81.2,3.4,5.3,0.6,0.4,41.0,44.7,40.7
Scrib,0.5,0.5,0.2,0.2,0.4,0.2,10.8,10.4,10.2,11.1,16.9,18.8,15.1,15.7,10.6,12.7,6.8,7.4,12.7,11.1,11.4
Scrn1,0.8,0.7,5.1,3.1,2.3,5.1,30.7,39.1,16.9,23.0,45.3,52.2,59.0,53.4,1.0,1.7,1.6,1.9,33.9,33.8,32.7
Scrn2,0.3,0.2,0.2,0.1,0.1,0.1,1.7,1.6,4.0,7.8,2.0,2.5,1.2,1.3,2.2,3.5,3.6,3.8,2.8,2.2,3.1
Scrn3,2.3,2.1,3.3,2.5,3.5,1.9,1.2,1.9,4.2,3.2,5.7,3.3,2.8,2.6,1.0,0.8,0.9,1.2,1.5,1.7,1.7
Scrt1,0.1,0.1,0.2,1.2,0.3,0.8,25.7,22.7,4.0,7.4,0.8,1.8,1.8,4.0,3.0,4.9,0.1,0.1,17.5,22.4,13.8
Scrt2,0.0,0.0,0.1,0.1,0.1,0.1,5.4,3.0,0.1,0.3,0.1,0.3,0.2,0.3,0.2,0.5,0.1,0.1,3.7,3.1,4.0
Sct,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.4,0.3,0.1
Sctr,0.9,0.8,0.2,0.2,0.5,0.4,2.2,2.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.9,1.8,2.3
Scube1,0.4,0.4,0.1,0.2,0.4,0.2,2.6,1.6,1.6,1.8,0.2,0.3,0.1,0.3,0.9,1.6,0.4,0.4,3.9,3.6,4.7
Scube2,0.2,0.0,0.1,0.2,0.1,0.1,0.4,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.8,0.3,0.2,0.3
Scube3,0.1,0.1,0.1,0.1,0.1,0.1,14.6,16.9,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.1,1.4,1.0,1.1
Scx,0.1,0.0,0.1,0.1,0.1,0.1,2.3,1.6,0.5,1.2,0.9,0.7,0.4,0.7,0.5,1.1,0.1,0.2,0.9,0.6,0.9
Scyl1,3.4,2.6,2.2,2.7,4.4,2.2,15.1,16.7,13.9,21.8,10.6,15.2,12.7,10.9,28.8,32.8,21.9,23.7,14.8,13.6,14.6
Scyl2,1.8,1.5,2.5,1.6,2.8,2.2,9.7,11.8,5.7,4.7,4.4,4.1,1.5,2.0,3.0,2.5,11.4,11.8,7.4,5.6,6.3
Scyl3,2.7,2.1,1.4,1.1,2.2,1.2,2.7,4.6,5.1,3.5,4.2,3.6,1.6,2.0,3.2,2.7,3.3,3.3,4.1,3.9,4.7
Sdad1,3.1,1.6,1.0,0.8,1.9,1.1,4.4,8.5,4.2,4.3,3.0,3.2,0.9,1.2,3.6,2.4,4.4,4.6,4.9,4.7,5.1
Sdc1,0.1,0.0,0.2,0.1,0.4,0.2,5.3,5.0,3.3,7.0,1.1,2.8,0.2,0.3,0.3,0.1,3.2,3.4,3.3,2.7,3.8
Sdc2,18.0,17.3,27.3,18.1,27.8,22.3,9.1,8.9,31.3,28.9,9.2,7.9,1.8,1.8,0.5,0.1,6.1,8.0,14.2,14.3,15.3
Sdc3,3.4,3.1,4.7,6.4,6.8,7.9,104.0,73.8,234.6,412.4,60.5,82.4,0.9,4.5,9.8,9.1,23.5,24.0,114.7,111.4,119.1
Sdc4,55.2,38.1,85.9,75.2,113.7,70.0,2.2,3.1,14.3,5.9,0.5,0.7,1.1,4.2,152.6,105.2,3.6,3.2,22.2,23.3,20.0
Sdcbp,13.5,13.6,38.4,30.6,31.6,32.5,51.7,84.0,69.1,58.1,37.0,31.6,16.5,22.8,137.1,103.8,250.9,264.6,57.2,50.0,53.1
Sdcbp2,0.2,0.2,0.2,0.1,1.5,0.1,0.5,0.8,0.1,0.1,0.5,0.4,0.2,0.4,0.2,0.2,6.4,7.6,0.9,0.8,0.5
Sdccag3,8.4,6.4,6.3,6.2,9.4,6.1,23.2,21.1,26.3,25.1,26.3,29.4,20.4,23.2,24.4,19.5,16.7,18.7,25.2,23.0,24.2
Sdccag8,5.6,4.8,4.0,2.8,4.0,4.4,2.3,5.1,5.3,2.8,5.1,2.8,2.4,2.4,3.7,2.6,2.2,2.5,5.0,5.1,5.4
Sdf2,34.6,23.8,27.5,13.5,24.1,22.3,32.9,38.3,40.6,60.6,33.0,39.2,30.7,29.9,27.2,39.4,53.3,59.1,32.4,28.6,34.9
Sdf2l1,0.6,0.6,1.2,0.9,1.2,1.8,3.3,3.6,22.8,31.5,23.7,30.6,9.8,9.7,37.9,51.5,5.8,6.1,8.1,7.0,8.0
Sdf4,6.5,5.5,11.7,13.9,12.8,13.7,16.7,21.3,24.3,34.6,30.1,42.7,35.6,35.7,51.5,63.4,35.3,39.6,21.6,22.0,21.6
Sdha,54.1,48.3,65.0,63.8,70.1,76.3,37.9,53.3,57.8,65.1,46.9,48.4,29.4,41.1,38.8,33.4,34.1,36.2,55.5,60.9,54.8
Sdhaf1,2.0,1.4,2.2,2.5,3.7,3.0,6.9,5.8,9.8,15.6,12.7,19.2,13.4,13.6,14.7,19.9,16.1,20.5,8.7,9.9,10.4
Sdhaf2,4.1,3.7,6.6,5.4,6.7,6.4,2.9,4.4,4.7,6.5,5.3,4.1,4.2,4.5,3.0,2.9,6.9,7.6,5.0,5.1,5.6
Sdhb,22.6,22.3,30.6,33.1,41.5,33.6,52.0,58.0,60.0,105.5,71.4,113.1,78.4,77.8,80.2,85.1,69.6,87.0,58.6,56.2,57.8
Sdhc,26.3,22.0,41.8,45.0,56.5,44.6,56.6,55.8,66.6,97.8,51.5,81.8,74.0,69.1,65.0,67.7,78.5,87.2,64.0,65.1,59.4
Sdhd,27.9,17.6,38.0,37.6,58.9,38.1,51.3,52.2,51.0,72.4,48.7,62.6,45.3,46.2,54.6,53.5,75.7,78.3,51.7,52.7,50.6
Sdk1,0.0,0.0,0.1,0.1,0.1,0.1,1.8,1.6,2.7,3.7,0.8,1.2,0.1,0.1,3.5,3.5,0.2,0.3,1.6,1.3,1.5
Sdk2,0.3,0.5,0.3,0.4,0.4,0.3,5.2,2.9,0.2,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,2.3,1.7,1.8
Sdpr,0.0,0.1,0.4,0.2,0.1,0.7,0.4,0.2,1.1,0.8,2.0,1.3,1.2,0.8,0.1,0.2,62.0,59.2,4.2,3.6,4.1
Sdr16c5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Sdr16c6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Sdr39u1,1.2,0.5,1.3,1.4,1.3,1.3,23.8,21.1,3.9,5.4,2.5,2.9,2.1,3.1,4.0,3.9,10.4,13.1,12.6,14.1,11.0
Sdr42e1,1.2,1.1,1.2,0.9,2.6,1.2,0.6,0.8,3.2,3.8,1.0,0.7,1.0,0.9,0.3,0.6,0.3,0.4,0.8,0.8,0.9
Sdr9c7,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Sds,0.1,0.1,0.1,0.1,0.1,0.1,0.6,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.2,0.3
Sdsl,3.0,2.7,3.0,1.1,2.8,1.3,3.1,4.2,0.3,0.7,0.3,0.6,0.1,0.3,0.1,0.1,0.1,0.1,0.5,0.7,0.8
Sebox,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Sec1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Sec11a,10.8,7.8,8.9,5.1,11.2,7.9,22.3,22.6,38.3,44.5,27.5,31.1,11.9,12.9,33.4,31.4,59.2,65.7,31.2,26.5,34.4
Sec11c,25.4,34.3,36.9,48.5,28.6,48.9,16.4,17.5,71.0,63.7,49.3,40.6,47.3,63.2,49.3,37.9,71.4,82.2,37.2,37.0,35.9
Sec13,12.1,9.8,12.0,9.6,11.0,12.1,21.5,20.5,36.7,52.8,47.5,60.8,38.8,39.2,46.6,51.6,47.7,52.6,27.8,27.3,29.2
Sec14l1,5.6,3.5,6.8,9.0,9.9,7.8,27.9,30.9,15.9,21.4,12.7,14.4,19.9,18.7,51.7,52.4,36.4,36.1,26.8,29.3,25.5
Sec14l2,4.8,5.4,4.5,5.6,8.9,6.2,3.7,6.2,10.0,13.3,8.5,10.8,9.2,11.2,4.2,5.1,0.4,0.6,8.3,9.1,9.1
Sec14l3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.5,0.5,0.4
Sec14l4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Sec14l5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8.8,3.5,9.3,11.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Sec16a,5.2,4.0,3.5,2.7,4.7,3.2,6.0,8.5,8.9,8.7,8.1,7.6,2.7,3.5,7.3,6.4,6.5,6.0,8.1,7.5,7.5
Sec16b,0.0,0.1,0.1,0.1,0.1,0.1,0.3,0.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.1,0.2
Sec22a,0.6,0.9,1.1,0.7,0.7,0.9,2.7,3.1,4.6,7.2,3.0,3.2,2.8,2.2,3.0,3.1,5.1,6.3,3.2,3.1,3.9
Sec22b,4.7,7.3,9.7,7.0,9.3,8.6,23.1,22.5,20.7,20.5,17.4,17.3,7.2,9.0,19.1,13.0,22.2,24.2,18.4,18.3,18.2
Sec22c,0.9,0.8,1.1,1.1,1.1,1.0,9.4,9.3,4.5,6.5,4.8,5.8,2.7,3.4,0.5,0.9,1.0,1.0,7.7,8.3,8.1
Sec23a,4.3,3.9,9.0,4.2,5.0,4.3,21.3,28.9,19.3,18.0,16.7,15.3,5.0,6.3,3.2,3.5,10.8,10.0,25.8,25.3,25.5
Sec23b,4.2,4.5,6.3,5.3,6.9,7.9,8.2,12.5,16.5,24.8,26.8,33.5,20.5,25.0,14.9,14.3,14.3,13.7,12.5,11.4,13.7
Sec23ip,3.3,3.5,3.5,2.2,3.6,3.0,4.3,5.4,7.1,6.0,7.2,6.0,2.3,3.1,3.5,2.8,6.7,6.5,6.9,6.3,7.2
Sec24a,3.4,2.6,2.5,2.2,3.3,2.2,4.6,5.2,6.6,3.2,6.5,4.7,1.0,1.6,4.6,2.9,4.2,3.9,5.6,4.2,4.2
Sec24b,8.0,6.8,4.1,4.2,6.8,4.5,9.1,12.2,11.0,9.0,7.3,6.3,2.6,3.4,6.8,5.4,10.9,10.0,10.7,9.5,9.7
Sec24c,6.1,5.2,5.2,4.5,6.6,5.4,17.8,18.0,23.1,28.4,26.2,30.2,16.1,16.3,16.7,17.7,15.7,15.7,19.8,18.9,19.5
Sec24d,0.4,0.7,0.8,1.0,1.0,1.0,8.0,12.2,3.7,4.9,2.5,4.1,2.1,3.2,4.6,4.0,14.2,13.7,5.7,5.6,5.2
Sec31a,6.7,4.6,5.6,5.7,8.6,6.8,15.9,17.6,14.0,16.0,14.2,18.2,8.3,9.5,21.9,23.4,27.5,24.9,16.2,15.2,16.6
Sec31b,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1
Sec61a1,9.3,6.2,7.9,6.0,13.2,6.0,40.6,36.0,57.5,86.6,66.8,89.2,36.9,42.2,67.1,76.5,83.3,82.7,47.6,43.5,50.4
Sec61a2,10.9,7.8,6.7,1.7,8.9,5.1,41.1,35.6,29.2,28.0,30.1,27.0,13.4,15.1,4.3,3.3,6.8,7.7,26.5,24.2,29.9
Sec61b,4.6,6.8,7.8,5.3,3.1,6.1,8.2,10.7,9.7,16.6,9.0,14.5,8.1,8.6,14.6,14.3,33.9,46.9,12.6,12.0,12.1
Sec61g,1.1,0.9,0.7,0.6,0.3,1.2,0.5,0.5,0.7,0.8,0.4,0.3,0.4,0.5,0.4,0.3,1.9,1.9,0.7,0.8,0.7
Sec62,11.8,11.0,23.8,14.6,13.2,18.1,14.7,28.0,42.3,21.7,37.9,14.0,12.4,17.1,8.8,5.2,33.0,32.6,36.1,33.3,39.6
Sec63,9.3,7.8,11.8,8.1,9.0,11.5,9.0,14.3,22.7,10.5,18.3,8.7,3.8,5.3,5.4,2.1,18.9,17.7,16.6,14.6,16.0
Secisbp2,2.6,1.6,1.5,0.7,1.6,0.9,2.7,3.5,5.2,5.3,5.0,4.6,2.6,2.9,2.5,2.3,5.9,6.4,3.9,3.7,4.6
Secisbp2l,6.3,4.9,11.1,9.1,10.3,11.9,9.8,10.7,17.2,10.1,118.0,52.6,61.9,67.7,3.7,2.1,8.5,8.8,14.8,16.0,14.9
Sectm1a,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.7,2.2,0.1,0.1,0.1
Sectm1b,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Seh1l,4.0,2.9,2.8,2.1,3.3,2.8,14.2,16.4,14.3,11.0,11.5,9.9,4.4,5.6,6.9,5.4,10.4,10.5,12.7,10.1,13.3
Sel1l,9.3,8.3,9.7,9.0,11.8,10.9,14.6,20.0,44.5,40.6,38.0,31.8,13.2,16.2,11.8,11.5,14.5,13.9,22.3,21.7,25.0
Sel1l2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Sel1l3,1.4,1.0,1.4,1.3,2.4,0.8,6.6,6.8,6.8,7.6,1.0,0.9,0.1,0.8,0.3,0.5,0.1,0.1,11.2,10.2,12.0
Sele,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.9,1.9,0.3,0.3,0.2
Selenbp1,9.2,9.5,8.8,7.3,18.4,11.5,0.7,0.5,2.9,4.0,0.5,0.9,0.9,1.3,6.7,9.5,1.9,1.9,2.6,2.3,2.8
Selenbp2,1.1,0.9,0.1,0.1,0.3,0.2,0.1,0.1,0.8,1.2,0.1,0.1,0.2,0.5,1.8,2.4,0.4,0.4,0.6,0.7,0.9
Selk,24.4,26.0,57.9,39.1,32.3,34.1,32.2,29.7,43.0,41.2,55.8,47.5,53.1,52.7,23.6,14.6,52.8,54.4,37.6,31.0,33.2
Sell,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.4,0.5,0.2,0.2,0.1,0.1,0.1
Selm,2.2,1.7,2.6,2.8,4.8,4.3,40.7,39.1,25.0,42.4,30.7,46.6,65.0,57.5,5.9,11.1,73.7,83.7,53.1,50.2,48.6
Selp,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.0,1.1,0.1,0.1,0.1
Selplg,0.0,0.1,1.7,7.8,0.9,4.9,0.1,0.3,47.9,28.2,2.2,2.4,4.2,7.0,1057.5,1768.9,2.2,2.1,3.6,6.7,4.3
Sema3a,0.0,0.1,0.1,0.1,0.1,0.1,0.7,1.2,0.4,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,2.3,2.2,2.6
Sema3b,0.1,0.0,0.1,0.1,0.1,0.1,0.3,0.4,0.4,0.5,0.3,0.2,0.5,0.3,0.1,0.1,0.2,0.1,0.7,0.6,0.9
Sema3c,0.1,0.1,0.2,0.1,0.1,0.1,8.3,12.3,0.3,0.4,0.3,0.1,0.1,0.1,0.1,0.1,17.3,18.1,4.9,4.6,6.1
Sema3d,0.0,0.1,0.3,0.4,0.1,0.3,0.2,0.7,34.6,15.7,38.4,14.3,1.7,3.0,0.1,0.1,0.1,0.1,3.1,3.0,2.9
Sema3e,0.0,0.1,0.1,0.1,0.1,0.1,0.7,0.7,1.0,0.8,3.4,1.9,0.2,0.4,0.1,0.1,0.1,0.1,1.4,1.1,1.4
Sema3f,0.1,0.1,0.1,0.1,0.1,0.1,2.7,1.1,0.4,0.3,0.1,0.1,0.1,0.1,1.9,2.2,1.3,1.3,4.5,3.0,4.4
Sema3g,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,20.8,21.4,1.8,1.8,1.9
Sema4a,19.2,14.1,9.3,5.7,23.7,6.8,9.4,9.2,2.7,3.4,35.7,34.7,6.8,10.5,6.3,5.2,0.2,0.1,12.3,10.6,12.4
Sema4b,15.2,10.3,7.2,5.2,22.9,6.1,8.0,7.3,4.4,3.7,0.7,1.1,0.2,0.6,27.7,32.3,0.1,0.1,8.3,8.0,9.0
Sema4c,0.1,0.1,0.1,0.2,0.1,0.1,12.1,8.9,5.7,6.7,12.1,11.2,6.2,7.4,16.4,14.5,31.6,29.1,15.3,11.2,12.5
Sema4d,5.7,4.4,4.5,3.9,7.2,3.3,9.0,7.9,9.2,8.4,214.3,252.4,148.1,163.5,91.1,77.8,0.2,0.1,10.6,12.2,9.7
Sema4f,0.1,0.1,0.1,0.1,0.1,0.2,9.8,8.3,4.6,5.3,18.7,14.4,4.1,5.6,0.4,0.4,0.1,0.1,8.1,7.3,9.3
Sema4g,3.4,2.6,1.6,1.3,2.9,1.1,47.0,50.1,11.8,11.9,12.7,12.5,5.7,6.1,13.9,12.8,0.8,0.9,23.3,21.4,23.0
Sema5a,0.1,0.2,1.6,1.3,0.3,1.1,5.4,6.3,33.0,24.3,78.5,51.6,12.6,20.2,0.1,0.1,0.3,0.4,9.3,9.9,8.6
Sema5b,1.9,1.7,1.4,1.0,1.6,0.9,5.3,5.7,33.9,20.1,18.3,20.7,0.2,0.6,0.1,0.1,0.1,0.1,16.1,13.7,15.2
Sema6a,3.9,2.8,4.0,2.9,3.1,3.4,9.4,11.9,16.0,9.2,67.0,31.8,16.8,21.5,0.1,0.2,18.1,15.7,17.2,17.8,17.3
Sema6b,0.3,0.1,0.3,0.3,0.2,0.2,18.1,13.4,11.7,24.0,7.0,11.8,2.1,4.5,2.6,3.0,6.5,7.1,18.4,19.9,19.4
Sema6c,0.0,0.0,0.1,0.2,0.1,0.1,25.9,22.9,4.6,6.6,1.8,2.1,0.8,1.2,2.6,3.2,0.7,0.7,13.6,14.3,15.4
Sema6d,35.5,31.9,27.2,20.6,36.1,28.2,7.6,10.1,23.3,15.0,34.9,20.5,5.1,8.5,2.1,1.6,30.0,31.2,29.3,28.8,34.3
Sema7a,1.3,0.8,0.9,2.1,2.3,1.8,10.2,6.6,9.4,11.3,7.5,7.7,14.9,19.9,1.8,4.1,189.2,195.1,36.5,33.9,36.6
Senp1,4.1,3.6,1.8,1.1,2.2,1.2,2.4,2.5,4.6,3.6,2.3,1.9,0.6,0.7,2.1,1.2,4.4,4.7,3.8,3.4,4.3
Senp2,3.7,4.0,3.1,3.1,3.4,3.6,8.1,10.9,9.8,6.9,7.2,6.2,2.2,3.3,13.4,7.4,7.7,7.9,13.3,13.6,12.0
Senp3,7.4,7.2,4.2,3.0,5.0,4.4,19.3,16.4,17.0,20.4,14.6,20.4,9.6,10.5,19.5,17.4,17.3,18.5,14.4,14.2,15.0
Senp5,1.6,1.4,1.7,1.1,1.8,1.9,6.7,9.3,6.0,5.3,8.4,7.3,2.3,3.4,3.8,2.2,6.0,6.1,6.8,7.1,7.3
Senp6,14.7,11.1,13.0,8.8,13.2,12.6,11.3,17.1,21.8,12.7,18.0,10.0,4.2,5.5,3.6,1.7,14.5,13.8,16.4,13.6,15.3
Senp7,7.0,4.9,5.5,2.5,6.7,4.4,7.0,8.1,9.0,5.1,5.2,2.9,1.3,1.5,1.3,1.0,4.5,3.6,6.3,5.4,6.7
Senp8,1.0,1.2,1.2,0.7,0.7,1.5,0.4,0.5,1.1,0.4,1.6,0.6,0.9,0.7,0.2,0.1,0.2,0.2,0.5,0.8,0.8
Sephs1,1.5,1.3,3.4,2.7,2.8,3.4,8.9,9.1,13.4,16.4,9.5,10.9,5.6,5.8,4.3,3.5,9.3,9.4,11.7,11.4,12.1
Sephs2,1.4,1.4,1.5,1.4,1.7,1.5,17.4,18.0,10.2,13.6,9.6,11.7,10.1,9.4,17.3,20.4,11.2,11.2,9.6,11.4,9.8
Sepn1,5.2,3.9,3.2,2.7,6.7,3.3,6.8,6.5,20.4,26.2,17.7,25.1,9.6,9.4,19.9,23.3,19.4,18.4,10.7,10.4,10.3
Sepp1,100.6,119.9,299.7,278.3,246.0,294.9,10.5,13.0,193.9,70.5,30.1,16.7,64.9,89.7,764.9,537.3,2235.0,2293.3,153.9,165.5,200.2
Sepsecs,1.2,1.5,2.0,1.3,2.5,1.6,1.8,2.9,3.2,2.2,2.7,1.4,1.2,0.9,0.8,0.7,2.1,2.1,2.3,2.3,2.2
Sepw1,10.0,8.2,79.0,78.7,85.4,92.1,272.8,297.7,171.9,276.9,225.4,324.2,546.6,524.1,112.5,174.7,122.9,144.7,518.3,615.1,432.7
Sepx1,2.4,3.8,3.0,1.9,5.2,4.2,9.9,11.8,11.2,18.3,17.1,22.2,38.1,29.4,17.4,25.3,14.0,16.5,11.5,13.8,11.8
Serac1,3.8,3.3,0.9,1.1,2.2,0.9,3.6,5.3,3.5,2.3,2.4,1.2,0.6,0.9,1.1,0.6,0.6,0.6,3.7,3.2,3.9
Serbp1,13.6,9.8,15.1,12.0,15.8,15.0,35.2,30.8,31.5,28.2,21.6,19.2,9.7,10.2,20.5,15.5,45.5,44.6,31.9,29.0,32.7
Serf1,3.7,3.4,9.7,6.5,5.5,6.2,43.3,40.9,25.6,25.6,9.0,10.3,4.6,5.3,3.3,3.7,8.8,9.9,44.9,45.0,47.7
Serf2,4.9,3.1,6.5,6.3,7.9,8.7,10.9,10.0,10.9,14.9,14.5,19.8,15.7,15.2,33.4,30.3,21.6,22.7,12.3,14.6,12.7
Sergef,1.1,0.8,0.8,0.3,0.9,1.9,7.7,6.5,6.5,9.8,3.0,5.0,1.8,3.4,5.7,6.7,0.4,0.2,7.4,7.3,8.1
Serhl,6.8,4.8,5.4,3.1,10.2,4.7,1.1,1.0,2.8,3.3,0.8,0.9,0.2,0.4,7.7,10.6,15.4,18.3,3.3,3.7,3.7
Serinc1,44.3,51.4,95.5,49.4,72.6,58.5,192.8,221.7,199.7,152.4,289.6,174.3,114.6,134.0,38.4,28.0,125.4,125.9,185.3,157.7,198.1
Serinc2,0.1,0.1,0.1,0.1,0.1,0.1,2.2,1.5,8.8,13.4,1.4,1.8,0.1,0.1,0.2,0.2,0.1,0.1,3.8,3.3,4.3
Serinc3,28.4,25.7,32.0,39.4,37.4,38.7,60.6,61.0,123.1,69.0,85.3,59.5,57.9,69.1,645.7,508.5,212.6,198.6,82.5,84.2,91.8
Serinc4,0.1,0.1,0.1,0.1,0.1,0.1,0.8,1.1,0.5,0.2,0.4,0.6,0.1,0.1,0.2,0.2,0.3,0.5,1.2,0.8,0.8
Serinc5,0.9,0.6,2.7,4.6,1.6,4.3,8.8,10.5,120.9,113.1,145.0,120.5,58.7,61.0,1.9,1.7,39.7,35.3,23.2,22.6,23.5
Serp1,10.0,9.7,21.2,18.5,19.3,15.8,26.1,23.6,45.8,51.0,50.6,55.4,32.4,32.1,45.8,41.2,64.2,66.8,29.2,26.5,26.0
Serp2,1.3,1.1,2.6,4.3,0.9,3.9,38.0,32.9,8.8,16.5,5.4,8.6,9.3,14.2,3.4,5.4,12.9,15.4,54.6,64.6,49.0
Serpina10,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
