,Mouse FACS astrocytes,Mouse FACS astrocytes,Mouse Hepacam immunopanned astrocytes,Mouse Hepacam immunopanned astrocytes,Mouse Hepacam immunopanned astrocytes,Mouse Hepacam immunopanned astrocytes,Mouse neurons,Mouse neurons,Mouse oligodendrocytes,Mouse oligodendrocytes,Mouse oligodendrocytes,Mouse oligodendrocytes,Mouse oligodendrocytes,Mouse oligodendrocytes,Mouse microglia,Mouse microglia,Mouse endothelial,Mouse endothelial,Mouse whole brain,Mouse whole brain,Mouse whole brain
1190007F08Rik,1.1,0.1,2.5,2.7,0.1,2.3,1.5,2.0,1.9,2.1,8.8,8.3,22.7,18.7,4.5,5.6,0.2,0.5,1.0,0.8,0.8
1190007I07Rik,12.2,11.3,4.5,3.2,3.5,6.0,1.6,0.5,1.8,1.1,0.6,0.4,0.8,0.8,1.2,1.9,3.1,3.0,1.0,0.9,1.6
1200009I06Rik,0.2,0.5,0.1,0.1,0.3,0.3,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.4,0.6,2.1,2.8,0.3,0.2,0.4
1200011I18Rik,1.7,1.1,1.7,1.2,1.9,1.8,5.4,6.4,3.8,3.1,3.8,2.5,1.5,2.0,2.0,1.6,6.0,5.2,4.3,4.2,5.0
1200011M11Rik,1.6,1.8,2.3,1.6,3.3,1.7,4.6,6.0,3.9,8.1,2.7,5.7,1.4,2.5,5.5,4.2,3.5,3.2,3.4,2.7,3.3
1200014J11Rik,2.3,1.4,1.7,1.2,1.8,1.3,2.5,3.9,4.7,4.2,2.6,2.4,1.0,1.2,6.2,5.3,5.8,5.9,3.7,3.4,4.1
1200016B10Rik,3.5,3.3,2.2,1.5,4.4,2.5,1.0,1.5,3.2,2.2,2.7,1.2,0.8,0.8,0.9,0.7,5.3,5.6,2.1,2.0,2.5
1300001I01Rik,10.6,7.9,5.8,5.2,11.5,6.2,9.6,9.3,7.6,9.1,5.1,6.4,3.0,3.8,11.9,11.1,3.6,3.6,10.2,10.5,9.9
1300002E11Rik,7.8,8.6,7.6,3.3,11.8,2.6,3.6,2.5,6.5,3.3,4.3,1.9,2.8,3.1,0.5,1.1,4.6,6.4,3.8,3.6,5.0
1300002K09Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1300010F03Rik,6.8,6.0,5.4,5.0,7.0,6.1,1.8,4.2,7.7,7.2,5.1,5.3,1.9,2.8,2.2,1.5,7.3,7.3,6.3,6.6,6.6
1300014I06Rik,0.6,0.4,0.9,1.3,0.3,1.1,2.0,3.0,26.6,40.7,18.2,33.8,1.6,1.9,11.9,6.3,15.2,15.6,8.4,7.1,6.2
1300015D01Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1300017J02Rik,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1300018I17Rik,2.0,1.7,1.1,1.2,1.9,1.1,15.6,14.9,12.5,13.7,6.8,10.8,5.2,7.1,18.2,21.2,4.0,3.7,15.9,16.7,14.9
1300018J18Rik,1.7,1.8,1.8,1.5,2.4,1.4,6.7,6.6,8.6,12.1,10.8,13.3,10.5,11.4,7.2,10.4,9.0,10.3,6.8,7.0,7.2
1500001M20Rik,1.1,1.3,0.8,1.0,1.5,1.2,3.5,4.9,3.3,5.0,1.7,2.5,1.2,1.6,3.0,2.4,4.9,5.5,3.3,2.5,3.8
1500002O10Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.5,0.5,0.7
1500002O20Rik,1.8,1.4,1.2,1.0,1.7,0.9,10.0,11.3,9.2,12.6,8.4,10.2,9.2,9.4,23.9,27.3,8.5,8.9,9.1,9.0,8.5
1500003O03Rik,6.2,5.6,15.0,16.0,17.8,16.9,20.9,22.0,20.2,24.4,20.2,23.2,18.8,19.9,13.5,14.3,29.5,27.8,20.0,20.7,17.7
1500004A13Rik,4.0,2.6,2.0,1.1,3.6,1.3,1.0,1.1,0.9,0.8,0.7,0.5,0.5,0.5,0.1,0.1,0.1,0.1,0.8,0.7,0.7
1500009C09Rik,15.1,9.9,19.9,22.3,28.7,24.1,13.1,12.4,26.0,37.0,8.6,16.3,5.5,7.4,1.7,4.0,0.7,0.6,21.5,23.9,19.5
1500009L16Rik,0.1,0.1,0.9,0.7,0.1,0.9,30.0,29.6,4.8,7.1,0.8,1.6,0.7,1.2,0.3,0.5,0.8,1.0,13.8,11.9,10.7
1500010J02Rik,1.3,1.7,1.1,1.4,1.7,1.6,13.3,12.7,10.8,12.6,4.4,5.1,3.1,3.5,20.5,27.7,4.4,4.0,11.3,11.2,10.9
1500011B03Rik,2.4,2.6,2.5,6.3,4.4,6.3,27.4,23.1,1.8,9.0,17.0,18.4,30.9,10.7,1.4,4.8,11.3,5.2,14.3,7.9,16.6
